thisRow.t,notes,onset,response,stim,participant_id,task,
,,49.97867459995905,49.08561677997488,64.0,lc_blue,match,
,,81.52838400000473,172.27817419986903,192.0,lc_blue,match,
,,102.9956305999658,42.94793462959131,48.0,lc_blue,match,
,,143.379394699994,315.5562522270807,328.0,lc_blue,match,
,,163.61398439999903,51.49934627965457,56.0,lc_blue,match,
,,205.98092649999307,283.0311574626723,304.0,lc_blue,match,
,,229.99889509996865,17.630080218819145,0.0,lc_blue,match,
,,257.41516009997576,154.3589941756947,176.0,lc_blue,match,
,,288.1825577999698,89.24944320363574,112.0,lc_blue,match,
,,318.7484755999758,284.3873878734446,312.0,lc_blue,match,
,,346.4499760000035,112.3663454542684,128.0,lc_blue,match,
,,359.11836379999295,113,136.0,lc_blue,match,
,,404.83491929998854,232.5830238636781,264.0,lc_blue,match,
,,450.5531043999945,203.29155275686517,208.0,lc_blue,match,
,,476.5024323000107,329.341237132078,352.0,lc_blue,match,
,,486.0369828999974,344.56035446468076,344.0,lc_blue,match,
,,522.4532150999876,270.4896955931292,288.0,lc_blue,match,
,,556.9381148999673,228.88137603220946,248.0,lc_blue,match,
,,593.021889799973,86.73666868176461,96.0,lc_blue,match,
,,609.9699194999994,212.78428086586914,240.0,lc_blue,match,
,,626.2881014000159,145.88552705465875,160.0,lc_blue,match,
,,645.2225380999735,102.76192668299669,120.0,lc_blue,match,
,,687.9736230999697,276.48916639592755,296.0,lc_blue,match,
,,717.873797999986,264.75566188928485,280.0,lc_blue,match,
,,747.4581005999935,324.15139601766066,336.0,lc_blue,match,
,,783.3742277999991,232.62971525536375,256.0,lc_blue,match,
,,809.375718299998,140.72895128474488,144.0,lc_blue,match,
,,828.1591010999982,47.079131721904766,40.0,lc_blue,match,
,,882.5767356000142,152.10272896905238,168.0,lc_blue,match,
,,913.4439842000138,311.8396383739543,320.0,lc_blue,match,
,,954.2446397999884,66.38572793192837,72.0,lc_blue,match,
,,977.5450778999948,258.63858885203933,272.0,lc_blue,match,
,,998.628059700015,138.34465031826588,152.0,lc_blue,match,
,,1008.4289505999768,5.6823686178550545,8.0,lc_blue,match,
,,1021.5288846999756,21.003222711434262,24.0,lc_blue,match,
,,1030.8962808999931,15.097155158190708,16.0,lc_blue,match,
,,1075.6137374999817,215.3112134396332,232.0,lc_blue,match,
,,1103.1306508000125,90.75055679636426,104.0,lc_blue,match,
,,1123.3819390999852,200.87661846373462,224.0,lc_blue,match,
,,1140.6475751000107,80.70669140060288,80.0,lc_blue,match,
,,1181.4648138000048,67.360856526606,88.0,lc_blue,match,
,,1212.0158970999764,167.6609127216738,184.0,lc_blue,match,
,,1229.4323234999902,32.18801940944506,32.0,lc_blue,match,
,,1261.632789299998,176.94711748520757,200.0,lc_blue,match,
,,1273.6671397999744,208.65431406192718,216.0,lc_blue,match,
