thisRow.t,notes,onset,selected,color_angle,participant_id,task,
,,18.645911399973556,-150.35013649242444,208,lc,match_without_color,
,,44.029403599968646,87.57366416839764,112,lc,match_without_color,
,,58.4963045999757,10.819398401978766,16,lc,match_without_color,
,,69.79776169999968,106.62447814396496,120,lc,match_without_color,
,,84.56366290000733,68.29456325389442,80,lc,match_without_color,
,,104.91379059996689,-54.34897758928728,304,lc,match_without_color,
,,114.94681850000052,3.3664606634298013,24,lc,match_without_color,
,,130.59779480000725,-128.15722658736905,256,lc,match_without_color,
,,143.09800250001717,179.18926478073763,192,lc,match_without_color,
,,153.5485103999963,175.99049845856075,176,lc,match_without_color,
,,163.48121629998786,-43.191260677507934,320,lc,match_without_color,
,,175.08228079997934,-66.98755496369621,296,lc,match_without_color,
,,186.91546799999196,2.6144295965954436,0,lc,match_without_color,
,,214.34873550001066,-134.82261425246773,224,lc,match_without_color,
,,233.18280140002025,-61.71551682075095,312,lc,match_without_color,
,,242.86736299999757,54.80842100482706,64,lc,match_without_color,
,,252.98387260001618,-41.543380827958,328,lc,match_without_color,
,,263.3165396999684,-102.91294075385106,272,lc,match_without_color,
,,273.5661681999918,-155.35609953429525,216,lc,match_without_color,
,,287.6674333999981,3.3949235421182786,352,lc,match_without_color,
,,298.9344544999767,-166.09731288577944,200,lc,match_without_color,
,,316.66770390002057,-104.36141466181338,248,lc,match_without_color,
,,329.66752459999407,36.44444175658711,40,lc,match_without_color,
,,344.01774310000474,139.61635209355103,144,lc,match_without_color,
,,357.4340937999659,-81.08507304285214,280,lc,match_without_color,
,,373.51805409998633,84.63584223766995,104,lc,match_without_color,
,,384.85194239998236,-136.82408983237613,240,lc,match_without_color,
,,395.73611609998625,173.19868517601844,184,lc,match_without_color,
,,407.452845599968,-143.60448159309266,232,lc,match_without_color,
,,420.91978100000415,27.017079506597998,32,lc,match_without_color,
,,434.45303979999153,-22.53845004082809,344,lc,match_without_color,
,,446.83600359997945,86.61827267572365,96,lc,match_without_color,
,,463.3864084999659,15.622100262710898,8,lc,match_without_color,
,,472.81980759999715,174.87507665402094,168,lc,match_without_color,
,,484.7700108999852,78.53423170123887,88,lc,match_without_color,
,,495.1872618999914,55.959718134398926,48,lc,match_without_color,
,,506.58690709999064,68.94550238168331,72,lc,match_without_color,
,,516.8230082999798,154.48080022827938,136,lc,match_without_color,
,,536.6717369999969,-107.7341179726596,264,lc,match_without_color,
,,546.6709374999627,-23.23350567051646,336,lc,match_without_color,
,,560.6206660000025,-74.05460409907715,288,lc,match_without_color,
,,572.8888848000206,156.17257861942957,152,lc,match_without_color,
,,583.7051200999995,122.03178679124352,128,lc,match_without_color,
,,594.0725294000003,48.742988295687134,56,lc,match_without_color,
,,606.6718089000206,-175.49988629157934,160,lc,match_without_color,
