thisRow.t,notes,onset,color_angle,selected,participant_id,task,
,,25.59105180000188,232,-140.91921637130554,lc,recall_with_text,
,,38.06760409998242,240,-133.89118787224007,lc,recall_with_text,
,,52.71684469998581,216,-154.95159069476324,lc,recall_with_text,
,,63.83364750002511,160,-178.60959873595598,lc,recall_with_text,
,,73.48734799999511,256,-114.32904161818372,lc,recall_with_text,
,,88.90384929999709,144,157.56700907787462,lc,recall_with_text,
,,99.3687281999737,16,15.797631484453259,lc,recall_with_text,
,,111.95217559998855,40,36.7068171198818,lc,recall_with_text,
,,122.31869849999202,56,57.55024271732212,lc,recall_with_text,
,,136.90152760001365,328,-41.85097958115242,lc,recall_with_text,
,,151.50207340001361,264,-69.44395478041653,lc,recall_with_text,
,,160.2019651000155,184,-178.12650698640007,lc,recall_with_text,
,,168.62189110001782,152,-179.74648050622798,lc,recall_with_text,
,,177.78601669997443,248,-80.00758547378376,lc,recall_with_text,
,,195.48650850000558,296,-55.02790876742481,lc,recall_with_text,
,,204.6405660000164,136,118.90918365114784,lc,recall_with_text,
,,214.32019719999516,64,59.47029410006589,lc,recall_with_text,
,,228.35503139998764,272,-68.72503002829328,lc,recall_with_text,
,,239.53869840002153,128,118.47420361007437,lc,recall_with_text,
,,253.6891696000239,168,-171.90346283211156,lc,recall_with_text,
,,263.0039709000266,32,24.145541960421653,lc,recall_with_text,
,,275.3718025999842,96,76.83894713442976,lc,recall_with_text,
,,284.1054784000153,288,-83.44927352889931,lc,recall_with_text,
,,298.8402001999784,336,-11.309932474020213,lc,recall_with_text,
,,311.74093670002185,304,-42.16588898369349,lc,recall_with_text,
,,331.63992889999645,208,-145.08816978339001,lc,recall_with_text,
,,344.6405112000066,176,-163.3721375141827,lc,recall_with_text,
,,360.85656769998604,320,-53.433519356368464,lc,recall_with_text,
,,370.73900840000715,88,77,lc,recall_with_text,
,,379.4907834000187,112,84.98202036136544,lc,recall_with_text,
,,388.4391091999714,48,58.42822944822271,lc,recall_with_text,
,,413.64066809997894,8,12.346420668726836,lc,recall_with_text,
,,426.8072569000069,0,8.09552433812874,lc,recall_with_text,
,,436.52349970000796,80,80.66500153686177,lc,recall_with_text,
,,447.12692920002155,104,82.52426261445179,lc,recall_with_text,
,,467.75818419997813,352,-4.8792737830067265,lc,recall_with_text,
,,481.557915900019,192,171.83393043179066,lc,recall_with_text,
,,490.74245899997186,120,83.37412529438252,lc,recall_with_text,
,,508.6426179999835,224,-142.83552510648855,lc,recall_with_text,
,,522.659420299984,344,-22.01128319791936,lc,recall_with_text,
,,531.7912508000154,312,-24.37646861667477,lc,recall_with_text,
,,541.9586861999705,280,-83.01329546333307,lc,recall_with_text,
,,555.0773640000261,200,-159.58486885811203,lc,recall_with_text,
,,577.6096890000044,24,34.76022537095988,lc,recall_with_text,
,,588.3128524000058,72,67.52939800293686,lc,recall_with_text,
