thisRow.t,notes,onset,selected,color_angle,participant_id,task,
,,22.2431421999936,199.0493572229623,184.0,lc_blue,trad_color_to_spatial,
,,41.30979869997827,51.608464338316864,64.0,lc_blue,trad_color_to_spatial,
,,72.77665389998583,195.29859045458943,128.0,lc_blue,trad_color_to_spatial,
,,87.31060019996949,22.54306100005788,0.0,lc_blue,trad_color_to_spatial,
,,104.92680899996776,270.2604335678134,256.0,lc_blue,trad_color_to_spatial,
,,117.62962209997931,15.255118703057777,16.0,lc_blue,trad_color_to_spatial,
,,133.2442947999807,170.45961819515736,120.0,lc_blue,trad_color_to_spatial,
,,146.49665729998378,277.63055422538275,296.0,lc_blue,trad_color_to_spatial,
,,158.7979680999997,278.8889424784245,264.0,lc_blue,trad_color_to_spatial,
,,170.31186489999527,268.45184230102205,280.0,lc_blue,trad_color_to_spatial,
,,184.66300929995487,322.2669544058117,344.0,lc_blue,trad_color_to_spatial,
,,200.7814390999847,104.219101717874,152.0,lc_blue,trad_color_to_spatial,
,,210.47878579999087,25.61219467377703,24.0,lc_blue,trad_color_to_spatial,
,,223.31257229996845,193.844405637316,192.0,lc_blue,trad_color_to_spatial,
,,233.84642580000218,331.4341632062534,336.0,lc_blue,trad_color_to_spatial,
,,247.5629736999981,56.80506885989523,80.0,lc_blue,trad_color_to_spatial,
,,259.2629302999703,35.30261950246754,48.0,lc_blue,trad_color_to_spatial,
,,278.1300229000044,180.0,168.0,lc_blue,trad_color_to_spatial,
,,293.59703000000445,304.7289962795209,304.0,lc_blue,trad_color_to_spatial,
,,310.83110489998944,139.4258340364498,176.0,lc_blue,trad_color_to_spatial,
,,327.58146969997324,113.89250230802661,96.0,lc_blue,trad_color_to_spatial,
,,340.84809159999713,16.803276402035745,32.0,lc_blue,trad_color_to_spatial,
,,356.0147737999796,158.38522105721376,104.0,lc_blue,trad_color_to_spatial,
,,365.38344700000016,328.6213979292155,328.0,lc_blue,trad_color_to_spatial,
,,376.731236099964,140.31851269753054,112.0,lc_blue,trad_color_to_spatial,
,,387.86761369998567,314.18734840574626,312.0,lc_blue,trad_color_to_spatial,
,,402.7167073999881,92.06381972845696,88.0,lc_blue,trad_color_to_spatial,
,,415.9168792999699,162.51200262385146,200.0,lc_blue,trad_color_to_spatial,
,,431.5826541999704,201.36102016125258,248.0,lc_blue,trad_color_to_spatial,
,,438.9991011999664,12,8.0,lc_blue,trad_color_to_spatial,
,,456.90096149995225,272.7927023657133,320.0,lc_blue,trad_color_to_spatial,
,,472.0849690999603,271.936800386221,288.0,lc_blue,trad_color_to_spatial,
,,486.1533608000027,137.108095312357,160.0,lc_blue,trad_color_to_spatial,
,,495.86830639996333,118,136.0,lc_blue,trad_color_to_spatial,
,,509.118676699989,265.64302499415373,272.0,lc_blue,trad_color_to_spatial,
,,527.3191704999772,133.37374280328484,144.0,lc_blue,trad_color_to_spatial,
,,551.3851402999717,185.48755706009123,216.0,lc_blue,trad_color_to_spatial,
,,563.5852171999868,214.56252464888183,240.0,lc_blue,trad_color_to_spatial,
,,574.1515905999695,287.16594605944914,352.0,lc_blue,trad_color_to_spatial,
,,584.4856201999937,17.198541220065866,40.0,lc_blue,trad_color_to_spatial,
,,596.8692609999562,202.53845004082808,208.0,lc_blue,trad_color_to_spatial,
,,609.0353328999481,216.76438067579048,232.0,lc_blue,trad_color_to_spatial,
,,619.0031674999627,230.3009265165257,224.0,lc_blue,trad_color_to_spatial,
,,628.6195674999617,33.76428481544564,56.0,lc_blue,trad_color_to_spatial,
,,646.6530813999707,74.74488129694222,72.0,lc_blue,trad_color_to_spatial,
