thisRow.t,notes,onset,selected,color_angle,participant_id,task,
,,37.766497100004926,126.60090535214754,72.0,lc_blue,recall,
,,75.81781109998701,174.65172778856865,184.0,lc_blue,recall,
,,93.81735929998104,325.8403054543306,320.0,lc_blue,recall,
,,110.36940799996955,180.7777229942636,176.0,lc_blue,recall,
,,125.80122169997776,162.23514669930253,144.0,lc_blue,recall,
,,142.48529949999647,150.80251395393555,160.0,lc_blue,recall,
,,158.6695233999635,108.59322405433613,120.0,lc_blue,recall,
,,179.85526599996956,58.047742209713036,16.0,lc_blue,recall,
,,196.40295519999927,323.79489696544334,312.0,lc_blue,recall,
,,216.4373488999554,54.20641223950482,88.0,lc_blue,recall,
,,237.35454349999782,20.731888492082856,40.0,lc_blue,recall,
,,261.053737499984,294.8466931754225,256.0,lc_blue,recall,
,,274.53737729997374,20.1706534118504,48.0,lc_blue,recall,
,,290.40571999998065,65.57938362135302,80.0,lc_blue,recall,
,,306.1875959999743,332.14761988139696,352.0,lc_blue,recall,
,,329.80539779999526,285.13794958313287,248.0,lc_blue,recall,
,,344.690407099959,260.9097230791777,264.0,lc_blue,recall,
,,364.438720599981,56.309932474020215,112.0,lc_blue,recall,
,,382.9555469999905,331.326853510565,336.0,lc_blue,recall,
,,399.40673699998297,207.13798987476147,208.0,lc_blue,recall,
,,416.5899218999548,206.7788404069551,200.0,lc_blue,recall,
,,431.40600819996325,40.18425546260554,32.0,lc_blue,recall,
,,445.6409144999925,221.8636416316674,232.0,lc_blue,recall,
,,457.5416630000109,225.96448430222654,216.0,lc_blue,recall,
,,471.09009199996945,27.201644753041478,24.0,lc_blue,recall,
,,483.45834569999715,57.139046513833456,96.0,lc_blue,recall,
,,499.0255504999659,190.16208319400076,152.0,lc_blue,recall,
,,514.3093958999962,196.7746664539392,224.0,lc_blue,recall,
,,529.7085697999573,187.9269266826896,192.0,lc_blue,recall,
,,542.8259071999928,219.6106882400266,240.0,lc_blue,recall,
,,554.8919436999713,132,128.0,lc_blue,recall,
,,571.8920110999607,291.50883783602546,296.0,lc_blue,recall,
,,589.109975099971,50.69345410734585,64.0,lc_blue,recall,
,,606.0437410000013,50.77811906912666,56.0,lc_blue,recall,
,,621.7767457999871,21.535125828757558,0.0,lc_blue,recall,
,,638.4931559999823,338.60411504291426,304.0,lc_blue,recall,
,,653.1783594999579,284.896277176709,272.0,lc_blue,recall,
,,669.7965911999927,318.6782387219934,344.0,lc_blue,recall,
,,687.9441050000023,272.73933572191856,288.0,lc_blue,recall,
,,701.6789055999834,114.93206117480504,136.0,lc_blue,recall,
,,719.9467203000095,274.50011370842066,280.0,lc_blue,recall,
,,739.0622595999739,161.97724391848033,168.0,lc_blue,recall,
,,754.7119238000014,53.494375789808984,104.0,lc_blue,recall,
,,769.8121897999663,18.763287804692737,8.0,lc_blue,recall,
,,786.2145908999955,249.00128096561298,328.0,lc_blue,recall,
