thisRow.t,notes,onset,stim,response,participant_id,task,
,,30.12162389999139,224,-139.1446237411043,lc,recall_with_text,
,,52.543301199999405,296,-57.46872826995511,lc,recall_with_text,
,,68.43731419999676,96,79.59775323489568,lc,recall_with_text,
,,90.24824570000055,320,-28.44292862436335,lc,recall_with_text,
,,111.86460789998819,208,-157.23499089248853,lc,recall_with_text,
,,125.78126649999467,16,18.586926661485904,lc,recall_with_text,
,,164.3499879999872,352,1.1550003680447756,lc,recall_with_text,
,,177.37123249999422,184,169.06090881680785,lc,recall_with_text,
,,208.9150679999875,24,37.20439797938407,lc,recall_with_text,
,,222.04325379998772,80,68.58703052512824,lc,recall_with_text,
,,234.69663369999034,64,62.474774256255664,lc,recall_with_text,
,,245.41264840000076,8,18.43494882292201,lc,recall_with_text,
,,257.300193099989,328,-30.784146526326445,lc,recall_with_text,
,,275.9475379999931,216,-121.00424824230278,lc,recall_with_text,
,,285.0823490999901,264,-111.05670559070478,lc,recall_with_text,
,,294.53720449999673,56,58.71481189187845,lc,recall_with_text,
,,307.86470559999,240,-134.0007563297427,lc,recall_with_text,
,,317.60087529999146,256,-105.76419543129998,lc,recall_with_text,
,,341.99864599999273,200,-165.6299984848207,lc,recall_with_text,
,,355.0012102999899,120,102.88197778988521,lc,recall_with_text,
,,374.1860605999973,176,179.10482628978895,lc,recall_with_text,
,,391.59666319999087,72,78.00916502096075,lc,recall_with_text,
,,405.35403039999073,336,-14.56369259093638,lc,recall_with_text,
,,418.44788880000124,280,-107.74467162505692,lc,recall_with_text,
,,435.9507520999905,32,24.130652205166133,lc,recall_with_text,
,,455.9603674999962,88,80.10332803233091,lc,recall_with_text,
,,473.11828769999556,168,169.8753283446022,lc,recall_with_text,
,,488.9697693999915,344,-25.744922210716165,lc,recall_with_text,
,,510.546319999994,304,-27.502321829905718,lc,recall_with_text,
,,526.1230349999969,112,80.21759296819272,lc,recall_with_text,
,,545.4796435999888,192,-173.92754359279232,lc,recall_with_text,
,,563.2640492999926,48,62.21842592097957,lc,recall_with_text,
,,575.6323253999872,232,-153.31508335027561,lc,recall_with_text,
,,589.3644804999931,104,84.07541801801752,lc,recall_with_text,
,,599.6988660999923,288,-106.72391941744361,lc,recall_with_text,
,,610.5515325999877,152,162.51200262385146,lc,recall_with_text,
,,621.9869628999877,40,49.9392155421262,lc,recall_with_text,
,,634.7860470000014,248,-76.44623590226836,lc,recall_with_text,
,,651.5782686999883,312,-21.898192805638995,lc,recall_with_text,
,,669.9077510999923,0,3.8140748342903543,lc,recall_with_text,
,,680.4523565999989,144,150.44631636769256,lc,recall_with_text,
,,692.3930970999936,136,126.92165533683601,lc,recall_with_text,
,,702.7626236999931,160,163.5340857049173,lc,recall_with_text,
,,713.3238911999943,272,-72.76688424153011,lc,recall_with_text,
,,723.2212169999984,128,126.04629537236586,lc,recall_with_text,
