thisRow.t,notes,onset,stim,stim_type,response,sequence_position,participant_id,session_id,recall_stim_type,response_type,match_stim_type,parameters,
,,152.83484709999902,0.0,angle,fushia moyen orange,0,lc,lc_1752252940,None,text,color,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': None, 'match_stim_type': 'color', 'response_type': 'text', 'nb_stim_total': 30, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752252940'}",
,,162.802284399997,312.0,angle,fushia moyen mauve,0,lc,lc_1752252940,None,text,color,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': None, 'match_stim_type': 'color', 'response_type': 'text', 'nb_stim_total': 30, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752252940'}",
,,167.80100069999753,60.0,angle,jaune,0,lc,lc_1752252940,None,text,color,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': None, 'match_stim_type': 'color', 'response_type': 'text', 'nb_stim_total': 30, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752252940'}",
,,176.18595639999694,36.0,angle,orange leger jaune,0,lc,lc_1752252940,None,text,color,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': None, 'match_stim_type': 'color', 'response_type': 'text', 'nb_stim_total': 30, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752252940'}",
,,182.1533245999999,96.0,angle,vert leger jaune,0,lc,lc_1752252940,None,text,color,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': None, 'match_stim_type': 'color', 'response_type': 'text', 'nb_stim_total': 30, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752252940'}",
,,187.65375569999742,216.0,angle,bleu leger violet,0,lc,lc_1752252940,None,text,color,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': None, 'match_stim_type': 'color', 'response_type': 'text', 'nb_stim_total': 30, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752252940'}",
,,192.88613659999828,24.0,angle,orange leger fushia,0,lc,lc_1752252940,None,text,color,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': None, 'match_stim_type': 'color', 'response_type': 'text', 'nb_stim_total': 30, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752252940'}",
,,199.95206969999708,156.0,angle,turquoise tres leger vert,0,lc,lc_1752252940,None,text,color,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': None, 'match_stim_type': 'color', 'response_type': 'text', 'nb_stim_total': 30, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752252940'}",
,,206.43585389999862,48.0,angle,jaune tres leger orange,0,lc,lc_1752252940,None,text,color,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': None, 'match_stim_type': 'color', 'response_type': 'text', 'nb_stim_total': 30, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752252940'}",
,,212.98591569999917,204.0,angle,bleu tres leger violet,0,lc,lc_1752252940,None,text,color,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': None, 'match_stim_type': 'color', 'response_type': 'text', 'nb_stim_total': 30, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752252940'}",
,,225.08637329999692,132.0,angle,vert tres leger jaune,0,lc,lc_1752252940,None,text,color,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': None, 'match_stim_type': 'color', 'response_type': 'text', 'nb_stim_total': 30, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752252940'}",
,,234.52106119999735,228.0,angle,violet tres leger bleu,0,lc,lc_1752252940,None,text,color,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': None, 'match_stim_type': 'color', 'response_type': 'text', 'nb_stim_total': 30, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752252940'}",
,,242.58580679999795,336.0,angle,fushia,0,lc,lc_1752252940,None,text,color,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': None, 'match_stim_type': 'color', 'response_type': 'text', 'nb_stim_total': 30, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752252940'}",
,,253.485988299999,192.0,angle,turquoise moyen bleu,0,lc,lc_1752252940,None,text,color,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': None, 'match_stim_type': 'color', 'response_type': 'text', 'nb_stim_total': 30, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752252940'}",
,,259.7542719999983,168.0,angle,turquoise,0,lc,lc_1752252940,None,text,color,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': None, 'match_stim_type': 'color', 'response_type': 'text', 'nb_stim_total': 30, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752252940'}",
,,264.6585497999986,288.0,angle,mauve,0,lc,lc_1752252940,None,text,color,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': None, 'match_stim_type': 'color', 'response_type': 'text', 'nb_stim_total': 30, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752252940'}",
,,272.1208439999973,108.0,angle,vert leger jaune,0,lc,lc_1752252940,None,text,color,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': None, 'match_stim_type': 'color', 'response_type': 'text', 'nb_stim_total': 30, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752252940'}",
,,288.5708664999984,348.0,angle,fushia moyen orange,0,lc,lc_1752252940,None,text,color,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': None, 'match_stim_type': 'color', 'response_type': 'text', 'nb_stim_total': 30, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752252940'}",
,,295.65463979999913,12.0,angle,orange tres leger fushia,0,lc,lc_1752252940,None,text,color,"{'maintenance_time': 2.0, 'circle_size': 300, 'nb_segments': 360, 'outer_radius': 200, 'inner_radius': 150, 'wheel_beginning': 0, 'wheel_end': 360, 'data_path': '../data/', 'participant_id': 'lc', 'recall_stim_type': None, 'match_stim_type': 'color', 'response_type': 'text', 'nb_stim_total': 30, 'nb_stim_per_trial': 1, 'nb_parity': 0, 'fullscreen': False, 'color_to_text_filename': '', 'session_id': 'lc_1752252940'}",
