thisRow.t,notes,onset,response,stim,participant_id,task,
,,15.967278799973428,-168.05582281155367,168,lc,recall,
,,30.717586799990386,72.32669318796532,72,lc,recall,
,,44.98280549998162,176.61827267572363,176,lc,recall,
,,68.66717019997304,-155.96571184055742,224,lc,recall,
,,93.09977349999826,135.90364398751296,136,lc,recall,
,,110.60128989996156,41.061260916148804,40,lc,recall,
,,129.4024174999795,-149.81211892641386,208,lc,recall,
,,160.9692433999735,-43.264295411071615,312,lc,recall,
,,179.7031986999791,-129.44950021041706,232,lc,recall,
,,198.63528089999454,24.605123917951623,24,lc,recall,
,,219.66968369996175,129.96806577717078,128,lc,recall,
,,233.7019681999809,-15.278765329661162,320,lc,recall,
,,250.90272049995838,-82.64762064010765,248,lc,recall,
,,263.0537100000074,-179.47194325109984,192,lc,recall,
,,275.4376592999906,-112.66179379493782,256,lc,recall,
,,289.5369967999868,155.51085928296317,152,lc,recall,
,,308.20453049999196,97.80018788418171,96,lc,recall,
,,325.54681490000803,81.71931775727825,80,lc,recall,
,,350.1226628999575,-5.121316510778612,344,lc,recall,
,,367.38782979996176,-170.90972307917767,184,lc,recall,
,,382.6733004999696,-11.309932474020213,352,lc,recall,
,,402.47283459996106,-49.635463426902646,296,lc,recall,
,,418.0222483999678,48.76852970913538,56,lc,recall,
,,434.12328739999793,75.78414652632645,88,lc,recall,
,,449.0733711000066,155.05609473657543,160,lc,recall,
,,465.9246358000091,11.798792449731307,16,lc,recall,
,,478.0739094999735,40.29638529570681,48,lc,recall,
,,496.44080919999396,116.7849955075022,112,lc,recall,
,,513.5746124999714,-69.26811150791714,280,lc,recall,
,,530.6589095999952,4.826858781122976,8,lc,recall,
,,547.1758722999948,-80.49675224213945,264,lc,recall,
,,567.5096480000066,-50.38931175997341,328,lc,recall,
,,579.3424679999589,-50.585297974342886,304,lc,recall,
,,593.075865199964,-125.50721751865424,240,lc,recall,
,,617.2444600999588,99.23990182097911,120,lc,recall,
,,632.526186699979,138.69138598645128,144,lc,recall,
,,645.0596738999593,87.12454631601476,104,lc,recall,
,,665.3304359999602,-18.593224054336137,336,lc,recall,
,,677.278867099958,-77.17121712854458,272,lc,recall,
,,693.7277745999745,48.998973843946814,64,lc,recall,
,,711.077916499984,32.7352262721076,32,lc,recall,
,,729.6949466000078,4.474896506246098,0,lc,recall,
,,744.629715499992,-62.69249647926145,288,lc,recall,
,,762.7320219999528,-142.47425126790802,216,lc,recall,
,,778.011634800001,-156.03751102542182,200,lc,recall,
